         356816814 function calls (356815059 primitive calls) in 847.812 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  1250064  129.821    0.000  184.307    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\xlrd\xlsx.py:622(do_row)
    25570  118.548    0.005  410.686    0.016 {method 'Parse' of 'pyexpat.xmlparser' objects}
 20914030  111.309    0.000  179.951    0.000 C:\Users\Jishnuraj k\anaconda3\lib\xml\etree\ElementTree.py:1621(_start)
       21   50.601    2.410  722.730   34.416 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\xlrd\xlsx.py:543(own_process_stream)
 63083021   48.149    0.000   48.149    0.000 C:\Users\Jishnuraj k\anaconda3\lib\xml\etree\ElementTree.py:1604(_fixname)
 20914030   41.909    0.000   65.699    0.000 C:\Users\Jishnuraj k\anaconda3\lib\xml\etree\ElementTree.py:1633(_end)
 20937654   39.613    0.000   54.682    0.000 C:\Users\Jishnuraj k\anaconda3\lib\xml\etree\ElementTree.py:1292(read_events)
 20912210   39.177    0.000  112.180    0.000 C:\Users\Jishnuraj k\anaconda3\lib\xml\etree\ElementTree.py:1562(handler)
  9583824   38.855    0.000   40.649    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\xlrd\sheet.py:696(put_cell_unragged)
 20914030   32.030    0.000   32.030    0.000 {method 'start' of 'xml.etree.ElementTree.TreeBuilder' objects}
  9583824   17.276    0.000   35.886    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\io\excel\_xlrd.py:60(_parse_cell)
 20912252   17.233    0.000  490.845    0.000 C:\Users\Jishnuraj k\anaconda3\lib\xml\etree\ElementTree.py:1224(iterator)
      101   14.356    0.142   14.356    0.142 {pandas._libs.writers.write_csv_rows}
 30249257   13.922    0.000   13.922    0.000 {method 'get' of 'xml.etree.ElementTree.Element' objects}
  1250064   11.437    0.000   47.323    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\io\excel\_xlrd.py:101(<listcomp>)
  1250043    8.802    0.000   11.015    0.000 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\xlrd\xldate.py:130(xldate_as_datetime)
20971804/20971771    8.656    0.000    8.704    0.000 {built-in method builtins.isinstance}
 20914030    8.214    0.000    8.214    0.000 {method 'end' of 'xml.etree.ElementTree.TreeBuilder' objects}
       21    8.212    0.391   60.083    2.861 C:\Users\Jishnuraj k\anaconda3\lib\site-packages\pandas\io\excel\_xlrd.py:49(get_sheet_data)
      214    8.091    0.038    8.091    0.038 {method 'astype' of 'numpy.ndarray' objects}
  1250043    7.596    0.000    7.596    0.000 {method 'timetuple' of 'datetime.datetime' objects}
 20912210    7.310    0.000    7.310    0.000 {method 'append' of 'collections.deque' objects}
 20912210    6.476    0.000    6.476    0.000 {method 'popleft' of 'collections.deque' objects}
      101    6.419    0.064    6.436    0.064 {pandas._libs.tslib.format_array_from_datetime}
  1497155    6.297    0.000    6.297    0.000 {method 'clear' of 'xml.etree.ElementTree.Element' objects}
13527940/13526883    4.889    0.000    4.893    0.000 {built-in method builtins.len}
